EmployeeKey,EmployeeNumber,DepartmentKey,JobRoleKey,EducationFieldKey,BusinessTravelKey,GenderKey,MaritalStatusKey,Age,DistanceFromHome,JobLevel,JobInvolvement,OverTime,NumCompaniesWorked,StockOptionLevel,DailyRate,HourlyRate,MonthlyRate,MonthlyIncome,PercentSalaryHike,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,PerformanceRating,WorkLifeBalance,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,Education,EducationLevel,AgeGroup,SalaryBand,TensureGroup,Job Satisfaction Level
7,10,2,3,4,3,1,2,59,3,1,4,Yes,4,3,1324,81,9964,2670,20,3,1,1,4,2,12,3,1,0,0,0,No,3,Bachelor,56+,Low Salary,New Employee,Low
8,11,2,3,2,3,2,1,30,24,1,3,No,1,1,1358,67,13335,2693,22,4,3,2,4,3,1,2,1,0,0,0,No,1,Below College,26-35,Low Salary,New Employee,High
18,22,2,3,4,1,2,1,22,16,1,4,Yes,1,2,1123,96,7324,2935,13,4,4,2,3,2,1,2,1,0,0,0,No,2,College,18-25,Low Salary,New Employee,Very High
34,42,3,9,6,3,2,2,39,5,2,3,No,3,1,895,56,3335,2086,14,4,4,3,3,4,19,6,1,0,0,0,Yes,3,Bachelor,36-45,Low Salary,New Employee,Very High
41,53,2,3,5,3,2,1,35,4,1,3,No,1,1,464,75,10910,1951,12,3,4,3,3,3,1,3,1,0,0,0,No,2,College,26-35,Low Salary,New Employee,Very High
42,54,2,3,2,3,1,1,27,2,1,3,No,1,1,1240,33,19715,2341,13,4,1,4,3,3,1,6,1,0,0,0,No,4,Master,26-35,Low Salary,New Employee,Low
48,61,2,7,2,3,2,2,37,19,1,3,No,4,0,408,73,10227,3022,21,2,2,1,4,3,8,1,1,0,0,0,No,2,College,36-45,Meduim Salary,New Employee,Medium
51,64,2,3,2,3,2,3,48,1,3,2,Yes,9,0,626,98,19294,5381,13,1,3,4,3,3,23,2,1,0,0,0,Yes,2,College,46-55,Meduim Salary,New Employee,High
68,86,2,7,2,3,2,1,45,7,3,3,No,2,1,1339,59,18787,9724,17,2,1,3,3,3,25,2,1,0,0,0,No,3,Bachelor,36-45,High Salary,New Employee,Low
70,90,2,7,4,3,2,2,36,9,1,2,Yes,0,1,318,79,21777,3388,17,4,3,1,3,2,2,0,1,0,0,0,Yes,3,Bachelor,36-45,Meduim Salary,New Employee,High
75,97,2,3,2,3,1,2,36,6,1,4,No,3,0,132,55,22002,3038,12,2,4,2,3,3,5,3,1,0,0,0,No,3,Bachelor,36-45,Meduim Salary,New Employee,Very High
102,134,2,7,2,3,2,3,32,1,1,3,No,1,0,827,71,15178,2956,13,4,1,4,3,3,1,2,1,0,0,0,No,1,Below College,26-35,Low Salary,New Employee,Low
105,139,2,1,2,1,2,1,37,2,2,2,No,5,1,1040,100,15850,5163,14,3,4,4,3,4,17,2,1,0,0,0,No,2,College,36-45,Meduim Salary,New Employee,Very High
115,151,2,7,2,3,1,1,34,6,2,2,No,6,1,1031,45,15000,4505,15,3,2,3,3,3,12,3,1,0,0,0,No,4,Master,26-35,Meduim Salary,New Employee,Medium
119,155,2,3,2,3,1,1,36,3,1,3,No,5,1,922,39,2561,2835,22,1,4,1,4,3,7,2,1,0,0,0,No,2,College,36-45,Low Salary,New Employee,Very High
150,201,2,3,4,3,1,3,19,3,1,3,No,1,0,1181,79,16102,1483,14,2,2,4,3,3,1,3,1,0,0,0,No,1,Below College,18-25,Low Salary,New Employee,Medium
157,211,2,5,4,3,2,2,51,7,2,2,No,2,0,1169,34,13983,6132,17,2,3,3,3,3,10,2,1,0,0,0,No,4,Master,46-55,Meduim Salary,New Employee,High
